"BENNER","ESTOQUE","ANAMNESE","MICRO","MONITO","MOUSE","ACESS","ERRO","IMPRESSORA","SIHOSP"
"0","0","0","3.13","0","0","0","0","0","0"
"0","0","0","2.9","0","0","0","0","0","0"
"0","0","0","2.79","0","0","0","0","0","0"
"0","0","0","0","0","0","7.21","0","0","7.21"
"0","0","0","4.05","0","0","0","0","0","0"
"0","3.83","0","0","0","0","0","3.83","0","0"
"0","0","0","0","0","0","0","0","3.81","0"
"0","0","0","0","0","0","0","0","2.96","0"
"0","0","1.14","0","0","0","0","0","0","0"
"0","0","0","7.89","0","0","0","0","0","0"
"0","0","0","0","0","0","0","3.87","0","0"
"0","0","0","7.96","0","0","0","0","0","0"
"0","0","0","0","0","0","10.92","0","0","0"
"0","1.04","0","0","0","0","0","1.04","0","0"
"4.19","0","0","0","0","0","0","4.19","0","0"
"0","0","0","0","0","0","0","0","5.88","0"
"1.1","0","0","0","0","0","1.1","0","0","0"
"0","0","0","0","0","0","6.91","0","0","0"
"0","0","0","4.2","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","4.23"
"0","0","0","5.84","0","0","0","5.84","5.84","0"
"0","0","0","4.97","0","0","0","0","0","0"
"0","0","0","0","0","0","1.02","0","0","1.02"
"0","0","0","0","0","0","0","0","0","2.13"
"0","0","0","0","0","0","0","0","7.15","0"
"0","0","0","0","5.06","0","0","0","0","0"
"0","0","0","0","0","0","0","0","5.1","0"
"0","0","0","0","0","0","1.08","0","0","0"
"7.09","0","0","0","0","0","0","7.09","0","0"
"0","0","0","0","0","0","0","0","11.25","0"
"3.97","0","0","0","0","0","0","3.97","0","0"
"0","0","0","1.24","0","0","0","0","0","0"
"0","0","0","0","10.19","0","0","0","0","0"
"0","0","0","0","0","0","0","8.1","0","0"
"0","0","0","0","0","0","0","0","6.35","0"
"0","0","0","0","0","0","0","0","6.2","0"
"0","0","0","1.02","0","0","1.02","0","0","0"
"0","0","0","0","0","0","1.18","0","0","1.18"
"1.13","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1.13","0","0"
"7.94","0","0","0","0","0","0","7.94","0","0"
"0","3.96","0","0","0","0","0","3.96","0","0"
"0","0","0","0","0","0","4.15","0","0","0"
"3.87","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","2.95","0"
"4.98","0","0","0","0","0","0","0","0","0"
"0","0","0","4.22","0","0","0","0","0","0"
"0","0","0","3.25","0","0","0","0","0","0"
"0","0","0","0","0","0","3.14","0","0","0"
"0","0","0","0","0","0","0","7.06","0","0"
"0","0","0","0","0","0","1.08","0","0","0"
"0","0","0","0","0","0","0","0","8.18","0"
"0","0","0","0","0","0","0","4.16","0","0"
"0","0","0","0","0","0","0","0","4.18","0"
"0","0","0","10.99","0","0","0","10.99","0","0"
"0","0","0","0","0","0","2.22","0","0","0"
"0","0","0","1.01","0","0","0","0","0","0"
"0","0","0","0","0","2.12","0","0","0","0"
"0","0","0","1.11","0","0","0","0","0","0"
"0","0","0","0","0","0","0","2.29","0","0"
"0","0","0","0","0","0","0","1.95","0","0"
"0","0","0","0","0","0","0","0","1.3","0"
"0","0","0","0","0","0","0","0","5.23","0"
"0","0","0","0","0","0","0","0","0","3.94"
"0","0","0","5.72","0","0","0","5.72","0","0"
"0","0","0","0","0","0","7.18","0","0","0"
"0","0","0","0","0","0","0","0","0","6.88"
"0","0","0","0","0","0","5.32","0","0","5.32"
"0","0","0","0","0","0","0","6.06","0","0"
"6.76","0","0","0","0","0","0","0","0","0"
"0","0","0","1.2","0","0","0","0","1.2","0"
"3.91","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","3.03","0","0","0"
"0","0","0","0","0","0","0","4.19","0","0"
"0","0","0","0","0","0","0","6.16","0","0"
"0","0","0","0","0","0","0","11.92","0","0"
"0","0","0","0","0","0","0","3.79","0","0"
"0","0","0","0","0","0","0","5.05","0","0"
"0","0","0","1.08","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","4.73","0"
"0","0","0","0","7.03","0","0","0","0","0"
"0","0","0","0","0","0","3.03","0","0","0"
"0","0","0","5.94","0","0","0","0","0","0"
"2.82","0","0","0","0","0","0","0","0","0"
"0","0","0","0","4.76","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","2.1"
"0","2.73","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","7.02","0","0"
"0","0","0","1.18","0","0","0","0","0","0"
"0","0","0","0","0","0","8.15","0","0","0"
"2.97","0","0","0","0","0","0","2.97","0","0"
"0","0","0","0","0","0","6.66","0","0","0"
"0","0","0","0","0","0","0","0","0","2.78"
"0","0","0","0","0","0","0","0","6.98","0"
"0","0","0","1.23","0","0","0","0","0","0"
"0","0","0","1.99","0","0","0","0","0","0"
"3.1","0","0","0","0","0","3.1","0","0","0"
"0","0","0","0","0","0","3.96","0","0","0"
"0","0","0","0","0","0","0","2.72","0","0"
"0","0","0","0","0","0","0","5.97","0","0"
"0","0","0","5.01","0","0","0","0","0","0"
"11.01","0","0","11.01","0","0","0","0","0","0"
"0","0","0","9.98","0","0","0","0","0","0"
"0","1.94","0","0","0","0","0","0","0","0"
"7.02","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","2.23","0","0","0"
"0","0","0","0","0","0","4","0","0","0"
"0","0","0","0","0","0","6.96","0","0","0"
"2.82","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","3.85","0"
"0","0","0","0","0","0","0","2.84","0","0"
"0","0","0","0","0","0","7.07","0","0","0"
"0","0","0","0","6.75","6.75","0","0","0","0"
"0","0","0","0","0","0","1.28","0","0","0"
"0","0","0","0","0","0","1.07","0","0","0"
"0","1.14","0","0","0","0","0","1.14","0","0"
"4.63","0","0","0","0","0","0","0","0","0"
"5.09","0","0","0","0","0","0","5.09","0","0"
"0","0","0","0","0","0","0","0","6.21","0"
"0","0","0","0","0","0","0","0","0","8.07"
"0","0","0","5.72","0","0","0","0","0","0"
"0","0","0","5.81","0","0","0","0","0","0"
"0","0","0","3.98","0","0","0","0","0","0"
"0","0","0","3.74","0","0","0","0","0","0"
"0","0","0","0","0","0","4.81","0","0","0"
"0","0","0","0","0","0","0","0","6.12","0"
"0","0","0","0","0","0","0","0","0","1.31"
"0","0","0","0","0","0","1.78","0","0","0"
"0","0","0","0","0","0","1.18","0","0","0"
"3.88","0","0","3.88","0","0","0","0","0","0"
"0","0","0","0","0","0","1.09","0","0","1.09"
"0","0","0","0","0","0","1.26","0","0","0"
"0","0","0","0","0","0","3.19","0","0","3.19"
"0","0","0","0","0","0","1.26","0","0","0"
"0","0","0","0","0","0","1.18","0","0","1.18"
"8.16","0","0","0","0","0","0","0","0","0"
"0","0","0","2.86","0","0","2.86","0","0","0"
"0","0","0","9.24","0","0","0","0","0","0"
"0","0","0","9.21","0","0","0","0","0","0"
"0","0","0","4.17","0","0","0","0","0","4.17"
"0","0","0","8.99","0","0","8.99","0","0","0"
"2.18","0","0","0","0","0","0","0","0","0"
"0","0","0","1.02","0","0","0","0","0","0"
"1.92","0","0","0","0","0","1.92","0","0","0"
"0","0","0","0","0","0","0","0","0","7.72"
"0","0","0","0","0","0","0","0","0","9.31"
"8.27","0","0","0","0","0","8.27","0","0","0"
"0","0","0","0","0","0","6.21","0","0","0"
"0","0","0","0","0","0","8.24","0","0","0"
"0","0","0","0","0","0","6.02","0","0","0"
"0","0","0","5.85","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1.11"
"0","0","0","0","0","0","11","0","0","0"
"2.91","0","0","0","0","0","0","0","0","0"
"6.89","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","6.89","0","0"
"0","0","0","0","0","0","0","8.02","0","0"
"5.17","0","0","0","0","0","5.17","0","0","0"
"1.23","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","7.84","0","0"
"0","0","0","5.96","0","0","5.96","0","0","0"
"0","0","0","0","0","0","0","1.98","0","0"
"0","0","0","6","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","4.59"
"0","0","0","0","0","2.1","0","0","0","0"
"0","0","0","0","0","0","0","0","1.79","0"
"0","0","0","0","0","0","0","0","1.09","0"
"0","0","0","0","0","0","4.92","0","0","0"
"0","0","0","3.2","0","0","0","0","0","0"
"0","0","0","3.27","0","0","0","0","0","0"
"0","0","0","2.16","0","0","0","0","0","0"
"6.92","0","0","0","0","0","0","0","0","0"
"0","0","0","0","3.18","0","0","0","0","0"
"0","0","0","2.77","0","2.77","0","0","0","0"
"2.76","0","0","0","0","0","0","0","0","0"
"0","0","0","1.04","0","0","0","0","0","0"
"2.75","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1.19","0","0","0","0","0"
"0","0","0","3.21","0","0","0","0","0","0"
"0","0","0","0","0","0","3.66","0","0","0"
"0","0","0","0","3.86","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","10.76"
"0","0","0","3.15","0","0","0","0","3.15","0"
"0","0","0","0","0","0","0","1.06","0","0"
"0","0","0","0","0","0","0","1.14","0","0"
"0","0","0","0","2.86","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","4.02"
"0","0","0","4","0","0","0","0","0","0"
"0","0","0","0","0","0","0","5.19","0","0"
"0","0","0","0","0","0","0","1.1","0","0"
"0","0","0","0","0","0","0","0","1.08","0"
"0","0","0","0","1.03","0","0","0","0","0"
"0","0","0","0","0","0","4.92","0","0","0"
"0","0","0","1.07","0","0","0","0","0","0"
"0","0","0","0","0","0","3.2","0","0","0"
"8.91","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.2","0"
"0","0","0","0","0","2.02","0","0","0","0"
"0","0","0","0","1.35","0","0","0","0","0"
"0","0","0","5.89","0","0","0","0","0","0"
"0","0","0","0","5.92","0","0","0","0","0"
"8.99","0","0","0","0","0","0","0","0","0"
"3.66","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.26","0"
"0","0","0","0","0","0","0","0","1.3","0"
"0","0","0","1.98","0","0","0","0","0","0"
"0","0","0","2.07","0","0","0","0","0","0"
"4.58","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1.79","0","0","0","0"
"0","0","0","0","0","0","7.89","0","0","7.89"
"0","0","0","0","3.03","0","0","0","0","0"
"0","0","0","0","3.16","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.15","0"
"0","0","0","0","0","0","3.01","0","0","0"
"0","0","0","0","0","0","7.04","0","0","0"
"0","0","0","2.98","0","2.98","0","0","0","0"
"0","0","0","0","0","0","2.68","0","0","0"
"0","0","0","0","0","0","0","0","4.03","0"
"0","0","0","0","0","0","1.91","0","0","0"
"0","0","0","0","0","0","0","0","1.21","0"
"0","0","0","0","0","0","0","1.76","0","0"
"6.2","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1.18"
